season,season_week,week,week_start_date,year,cases,prec,tavg,mu
1990/1991,39,4,1/22/1991,1991,34,5.7,298.2285714,0.921736599
1990/1991,40,5,1/29/1991,1991,37,19.69,297.9285714,0.882572652
1990/1991,41,6,2/5/1991,1991,17,21.4,297.1142857,0.923367246
1990/1991,42,7,2/12/1991,1991,19,26.2,297.6142857,0.886083559
1990/1991,43,8,2/19/1991,1991,25,23.8,297.8285714,0.883621934
1990/1991,44,9,2/26/1991,1991,18,8.3,298.0785714,0.851404591
1990/1991,45,10,3/5/1991,1991,21,13.37,297.6357143,0.847138554
1990/1991,46,11,3/12/1991,1991,17,11.1,297.6142857,0.931190223
1990/1991,47,12,3/19/1991,1991,17,21.26,297.6928571,0.923820193
1990/1991,48,13,3/26/1991,1991,16,20.9,297.1857143,0.940456648
1990/1991,49,14,4/2/1991,1991,16,19.78,297.6571429,0.938766114
1990/1991,50,15,4/9/1991,1991,15,21.9,297.3928571,0.917864476
1990/1991,51,16,4/16/1991,1991,23,19.7,298.2357143,0.896598639
1990/1991,52,17,4/23/1991,1991,16,8.38,299.0714286,0.834189987
1991/1992,1,18,4/30/1991,1991,17,20.6,298.7214286,0.972222222
1991/1992,2,19,5/7/1991,1991,12,35.37,298.4071429,0.943478261
1991/1992,3,20,5/14/1991,1991,17,59.3,298.4571429,0.926586796
1991/1992,4,21,5/21/1991,1991,10,43.4,298.8857143,0.935321996
1991/1992,5,22,5/28/1991,1991,15,5,299.75,0.929824561
1991/1992,6,23,6/4/1991,1991,19,5.82,300.0714286,0.970765809
1991/1992,7,24,6/11/1991,1991,21,17,299.9714286,0.983224604
1991/1992,8,25,6/18/1991,1991,14,37.8,299.4785714,0.94541679
1991/1992,9,26,6/25/1991,1991,18,51.99,299.3857143,0.961340985
1991/1992,10,27,7/2/1991,1991,13,18.7,300.1714286,0.940219
1991/1992,11,28,7/9/1991,1991,14,23.6,300.3428571,0.907011736
1991/1992,12,29,7/16/1991,1991,18,27.4,299.9785714,0.969230769
1991/1992,13,30,7/23/1991,1991,23,34.39,299.9642857,0.9941138
1991/1992,14,31,7/30/1991,1991,25,31.5,299.8642857,1.03426319
1991/1992,15,32,8/6/1991,1991,62,20.4,300.65,1.258798624
1991/1992,16,33,8/13/1991,1991,60,25.47,300.3857143,1.132669757
1991/1992,17,34,8/20/1991,1991,76,23.8,300.2,1.173804689
1991/1992,18,35,8/27/1991,1991,66,42.33,300.15,1.064876411
1991/1992,19,36,9/3/1991,1991,64,11.4,300.6357143,1.043817468
1991/1992,20,37,9/10/1991,1991,68,28.8,300.6,1.053921365
1991/1992,21,38,9/17/1991,1991,89,77.5,300.05,1.093735727
1991/1992,22,39,9/24/1991,1991,92,60,299.6928571,1.083887965
1991/1992,23,40,10/1/1991,1991,140,55.1,299.6714286,1.167467027
1991/1992,24,41,10/8/1991,1991,116,31.19,299.9214286,1.06292445
1991/1992,25,42,10/15/1991,1991,142,12.6,299.9928571,1.090231627
1991/1992,26,43,10/22/1991,1991,129,26.83,299.9928571,1.052276071
1991/1992,27,44,10/29/1991,1991,140,74.83,299.2785714,1.049226067
1991/1992,28,45,11/5/1991,1991,140,72.7,298.7857143,1.04414722
1991/1992,29,46,11/12/1991,1991,127,15.1,298.7071429,1.019986417
1991/1992,30,47,11/19/1991,1991,129,78.43,298.5,1.025205139
1991/1992,31,48,11/26/1991,1991,169,35.1,298.8428571,1.055051038
1991/1992,32,49,12/3/1991,1991,141,26.8,298.5928571,1.021953908
1991/1992,33,50,12/10/1991,1991,108,8.76,298.1357143,0.990907683
1991/1992,34,51,12/17/1991,1991,78,19.3,296.5071429,0.974401262
1991/1992,35,52,12/24/1991,1991,70,4.8,297.1357143,0.94988006
1991/1992,36,1,1/1/1992,1992,81,11.8,298.4142857,0.967432405
1991/1992,37,2,1/8/1992,1992,104,19.3,297.1785714,0.960043127
1991/1992,38,3,1/15/1992,1992,90,5.11,297.4142857,0.960136211
1991/1992,39,4,1/22/1992,1992,85,7.2,297.55,0.947026469
1991/1992,40,5,1/29/1992,1992,55,24.5,296.9714286,0.926499404
1991/1992,41,6,2/5/1992,1992,53,12.1,298.4,0.930022137
1991/1992,42,7,2/12/1992,1992,65,5.5,297.9928571,0.925665455
1991/1992,43,8,2/19/1992,1992,33,12.8,297.6785714,0.853967027
1991/1992,44,9,2/26/1992,1992,38,5.3,297.75,0.864214682
1991/1992,45,10,3/4/1992,1992,59,13.06,297.8285714,0.907597657
1991/1992,46,11,3/11/1992,1992,40,10.3,297.9928571,0.930403789
1991/1992,47,12,3/18/1992,1992,37,13.5,297.7,0.933876074
1991/1992,48,13,3/25/1992,1992,29,17.5,298.0642857,0.908762369
1991/1992,49,14,4/1/1992,1992,30,21.7,298.7071429,0.857574309
1991/1992,50,15,4/8/1992,1992,30,60.8,298.0857143,0.858784757
1991/1992,51,16,4/15/1992,1992,28,26,298.2214286,0.837103916
1991/1992,52,17,4/22/1992,1992,23,2,298.85,0.897672141
1992/1993,1,18,4/29/1992,1992,24,47,298.0857143,0.891542737
1992/1993,2,19,5/6/1992,1992,29,25.5,298.7,0.848799188
1992/1993,3,20,5/13/1992,1992,26,574.3,298.65,0.951999443
1992/1993,4,21,5/20/1992,1992,23,149.7,298.6785714,0.933146833
1992/1993,5,22,5/27/1992,1992,20,30.2,299.1928571,0.861891601
1992/1993,6,23,6/3/1992,1992,19,45.4,298.9357143,0.929813977
1992/1993,7,24,6/10/1992,1992,20,36.2,299.0714286,0.935791408
1992/1993,8,25,6/17/1992,1992,26,29.6,299.7142857,0.981517384
1992/1993,9,26,6/24/1992,1992,29,9.7,300.4071429,0.987585843
1992/1993,10,27,7/1/1992,1992,31,9.5,300.5285714,0.995208306
1992/1993,11,28,7/8/1992,1992,28,44.9,299.75,0.990889886
1992/1993,12,29,7/15/1992,1992,26,69.84,299.2642857,1.001980459
1992/1993,13,30,7/22/1992,1992,32,60.3,299.2571429,1.019168501
1992/1993,14,31,7/29/1992,1992,35,37.8,299.7714286,1.015179337
1992/1993,15,32,8/5/1992,1992,33,84.2,299.2285714,1.016485444
1992/1993,16,33,8/12/1992,1992,30,43.9,299.9642857,1.013383895
1992/1993,17,34,8/19/1992,1992,52,31.3,300.0071429,1.090928564
1992/1993,18,35,8/26/1992,1992,59,37.66,300.1857143,1.105918736
1992/1993,19,36,9/2/1992,1992,67,86.3,299.7285714,1.114219904
1992/1993,20,37,9/9/1992,1992,65,43.5,300.0428571,1.07596817
1992/1993,21,38,9/16/1992,1992,74,109.69,299.3,1.086566365
1992/1993,22,39,9/23/1992,1992,70,29.1,299.8357143,1.058629873
1992/1993,23,40,9/30/1992,1992,61,15.7,300.3285714,1.033835922
1992/1993,24,41,10/7/1992,1992,53,11.5,300.2142857,1.018165733
1992/1993,25,42,10/14/1992,1992,76,23.3,299.8714286,1.046583248
1992/1993,26,43,10/21/1992,1992,61,27.4,299.8571429,1.010859174
1992/1993,27,44,10/28/1992,1992,57,29.3,299.8071429,1.006213763
1992/1993,28,45,11/4/1992,1992,44,27.42,299.1571429,0.99179336
1992/1993,29,46,11/11/1992,1992,34,104.67,298.1357143,0.968313722
1992/1993,30,47,11/18/1992,1992,47,75.9,298.8571429,0.968957921
1992/1993,31,48,11/25/1992,1992,60,54.6,298.4928571,0.971236861
1992/1993,32,49,12/2/1992,1992,60,15.23,299.0142857,0.973771565
1992/1993,33,50,12/9/1992,1992,53,32.14,298.2357143,0.949540958
1992/1993,34,51,12/16/1992,1992,36,22.4,297.3642857,0.93081092
1992/1993,35,52,12/23/1992,1992,31,60.1,297.6785714,0.936402653
1992/1993,36,1,1/1/1993,1993,30,41.5,297.4928571,0.94490067
1992/1993,37,2,1/8/1993,1993,32,16.9,297.4928571,0.904398808
1992/1993,38,3,1/15/1993,1993,28,3.6,297.8642857,0.925475228
1992/1993,39,4,1/22/1993,1993,33,20.2,297.2785714,0.932494474
1992/1993,40,5,1/29/1993,1993,33,39.9,296.6785714,0.960353866
1992/1993,41,6,2/5/1993,1993,35,1.6,297.7428571,0.983379636
1992/1993,42,7,2/12/1993,1993,22,9.8,297.6285714,0.939862042
1992/1993,43,8,2/19/1993,1993,13,18.9,296.85,0.891469169
1992/1993,44,9,2/26/1993,1993,13,1.3,296.6285714,0.867336358
1992/1993,45,10,3/5/1993,1993,21,8.7,297.3571429,0.873072756
1992/1993,46,11,3/12/1993,1993,17,15,298,0.926695047
1992/1993,47,12,3/19/1993,1993,11,11.36,297.4857143,0.927179963
1992/1993,48,13,3/26/1993,1993,8,16.71,297.8214286,0.919064748
1992/1993,49,14,4/2/1993,1993,8,11.3,298.0071429,0.900690846
1992/1993,50,15,4/9/1993,1993,6,72.89,297.4785714,0.903473614
1992/1993,51,16,4/16/1993,1993,6,32,298.3785714,0.862977099
1992/1993,52,17,4/23/1993,1993,7,30.8,298.5714286,0.829949845
1993/1994,1,18,4/30/1993,1993,12,59.7,298.0142857,0.763902129
1993/1994,2,19,5/7/1993,1993,17,122.1,297.7428571,0.88964182
1993/1994,3,20,5/14/1993,1993,10,45.87,299.7142857,0.920363442
1993/1994,4,21,5/21/1993,1993,10,159.3,298.5857143,0.917314095
1993/1994,5,22,5/28/1993,1993,18,35,300.0857143,0.90017311
1993/1994,6,23,6/4/1993,1993,19,58.4,299.7357143,0.956064356
1993/1994,7,24,6/11/1993,1993,12,19,299.8357143,0.93957346
1993/1994,8,25,6/18/1993,1993,22,86.9,299.1,1.02980713
1993/1994,9,26,6/25/1993,1993,12,24.7,300.1,0.92069451
1993/1994,10,27,7/2/1993,1993,21,82.3,299.4642857,0.979647218
1993/1994,11,28,7/9/1993,1993,18,49.3,299.8428571,0.958715596
1993/1994,12,29,7/16/1993,1993,16,51.5,299.9214286,0.948347107
1993/1994,13,30,7/23/1993,1993,16,80.8,299.5285714,0.94053359
1993/1994,14,31,7/30/1993,1993,22,16.7,300.2928571,0.95376978
1993/1994,15,32,8/6/1993,1993,17,33.3,300.2071429,0.959040374
1993/1994,16,33,8/13/1993,1993,25,50.8,299.7714286,0.998891045
1993/1994,17,34,8/20/1993,1993,23,31.4,299.9571429,0.967570184
1993/1994,18,35,8/27/1993,1993,12,41,299.8571429,0.906617478
1993/1994,19,36,9/3/1993,1993,25,35.7,300.1571429,0.97184466
1993/1994,20,37,9/10/1993,1993,28,76.9,299.6642857,0.965007607
1993/1994,21,38,9/17/1993,1993,27,59.8,300.0571429,1.00632524
1993/1994,22,39,9/24/1993,1993,18,60.56,299.7571429,0.941669705
1993/1994,23,40,10/1/1993,1993,23,56.9,299.7857143,0.968895511
1993/1994,24,41,10/8/1993,1993,23,14.2,300.5214286,0.976498027
1993/1994,25,42,10/15/1993,1993,29,22.2,299.9,1.001197195
1993/1994,26,43,10/22/1993,1993,38,60.1,299.6428571,1.026741294
1993/1994,27,44,10/29/1993,1993,36,7.3,299.7642857,1.027867965
1993/1994,28,45,11/5/1993,1993,43,47.1,299.1428571,1.038337897
1993/1994,29,46,11/12/1993,1993,46,146.11,298.5785714,1.052062766
1993/1994,30,47,11/19/1993,1993,31,21,299.0571429,1.005709188
1993/1994,31,48,11/26/1993,1993,25,41.5,298.3928571,0.976885341
1993/1994,32,49,12/3/1993,1993,40,24.5,298.5357143,1.001829218
1993/1994,33,50,12/10/1993,1993,31,28.6,298.7285714,0.975862337
1993/1994,34,51,12/17/1993,1993,38,37.1,298.0214286,1.011472275
1993/1994,35,52,12/24/1993,1993,30,8.2,298.5428571,0.982810849
1993/1994,36,1,1/1/1994,1994,22,21.7,297.9142857,0.966771935
1993/1994,37,2,1/8/1994,1994,31,23.3,297.8142857,0.970800909
1993/1994,38,3,1/15/1994,1994,26,11.64,297.8285714,0.94262687
1993/1994,39,4,1/22/1994,1994,35,27.7,297.6642857,0.961796295
1993/1994,40,5,1/29/1994,1994,36,14,297.6571429,0.945877409
1993/1994,41,6,2/5/1994,1994,39,3.1,297.9142857,0.942033361
1993/1994,42,7,2/12/1994,1994,25,9.4,297.65,0.95068753
1993/1994,43,8,2/19/1994,1994,31,20.9,297.35,0.976619581
1993/1994,44,9,2/26/1994,1994,37,16.7,297.3214286,0.96230441
1993/1994,45,10,3/5/1994,1994,33,9.4,297.8214286,0.978668599
1993/1994,46,11,3/12/1994,1994,25,6.29,297.7714286,0.940562505
1993/1994,47,12,3/19/1994,1994,24,3.8,298.3714286,0.96019434
1993/1994,48,13,3/26/1994,1994,18,6.46,298.3214286,0.967478962
1993/1994,49,14,4/2/1994,1994,23,8.3,298.1142857,0.957414651
1993/1994,50,15,4/9/1994,1994,13,37.4,297.4928571,0.948779586
1993/1994,51,16,4/16/1994,1994,18,12.2,298.0214286,0.929867106
1993/1994,52,17,4/23/1994,1994,14,14.7,298.8571429,0.911777211
1994/1995,1,18,4/30/1994,1994,17,8.8,299.1928571,0.892152143
1994/1995,2,19,5/7/1994,1994,22,30.3,298.3714286,0.962549463
1994/1995,3,20,5/14/1994,1994,13,20.1,299.4142857,0.911607787
1994/1995,4,21,5/21/1994,1994,24,0.3,300.4714286,0.893211786
1994/1995,5,22,5/28/1994,1994,31,26,299.3857143,0.936448598
1994/1995,6,23,6/4/1994,1994,34,13.1,299.7428571,1.003255458
1994/1995,7,24,6/11/1994,1994,31,23.31,299.3428571,0.989570659
1994/1995,8,25,6/18/1994,1994,31,5.7,300.3642857,1.013685239
1994/1995,9,26,6/25/1994,1994,38,39.93,299.4714286,1.031143911
1994/1995,10,27,7/2/1994,1994,49,47.02,299.2071429,1.111703511
1994/1995,11,28,7/9/1994,1994,42,9.4,300.1,1.045454545
1994/1995,12,29,7/16/1994,1994,49,11.9,299.9428571,1.071906355
1994/1995,13,30,7/23/1994,1994,55,7.1,300.0428571,1.078794133
1994/1995,14,31,7/30/1994,1994,80,23.2,299.5571429,1.144697295
1994/1995,15,32,8/6/1994,1994,84,11.9,299.8214286,1.129483775
1994/1995,16,33,8/13/1994,1994,72,17.66,300.3428571,1.059300488
1994/1995,17,34,8/20/1994,1994,89,10.44,300.7857143,1.082517648
1994/1995,18,35,8/27/1994,1994,115,36,300.0785714,1.123002409
1994/1995,19,36,9/3/1994,1994,179,40.5,300.1928571,1.236334679
1994/1995,20,37,9/10/1994,1994,202,78.6,300.0142857,1.1978216
1994/1995,21,38,9/17/1994,1994,272,46.8,299.8142857,1.246672489
1994/1995,22,39,9/24/1994,1994,302,10,300.0571429,1.194932877
1994/1995,23,40,10/1/1994,1994,395,12.1,300.4428571,1.23394349
1994/1995,24,41,10/8/1994,1994,426,32.67,299.6285714,1.178994696
1994/1995,25,42,10/15/1994,1994,461,47.09,299.5642857,1.150794459
1994/1995,26,43,10/22/1994,1994,381,35.5,299.6,1.066423383
1994/1995,27,44,10/29/1994,1994,333,30.9,299.4857143,1.037637001
1994/1995,28,45,11/5/1994,1994,353,55.9,298.7714286,1.041149626
1994/1995,29,46,11/12/1994,1994,410,11.9,300.0214286,1.052901182
1994/1995,30,47,11/19/1994,1994,364,27.5,299.05,1.030940588
1994/1995,31,48,11/26/1994,1994,359,71.09,298.2785714,1.02218116
1994/1995,32,49,12/3/1994,1994,288,60.2,298.2571429,1.001905948
1994/1995,33,50,12/10/1994,1994,221,20.8,298.7785714,0.981066226
1994/1995,34,51,12/17/1994,1994,149,3.9,298.8785714,0.965560368
1994/1995,35,52,12/24/1994,1994,112,7.4,297.8928571,0.94180078
1994/1995,36,1,1/1/1995,1995,154,8.24,298.2142857,0.930206769
1994/1995,37,2,1/8/1995,1995,91,26.95,296.9928571,0.900837083
1994/1995,38,3,1/15/1995,1995,72,11.98,297.5785714,0.915607096
1994/1995,39,4,1/22/1995,1995,56,43.5,297.8142857,0.921734666
1994/1995,40,5,1/29/1995,1995,46,1.4,298.0928571,0.90116344
1994/1995,41,6,2/5/1995,1995,37,12.53,298.2571429,0.850036025
1994/1995,42,7,2/12/1995,1995,26,24.32,297.85,0.836148982
1994/1995,43,8,2/19/1995,1995,17,16.35,297.5428571,0.777268461
1994/1995,44,9,2/26/1995,1995,17,67.2,296.9928571,0.762348732
1994/1995,45,10,3/5/1995,1995,20,21.9,297.5357143,0.760047263
1994/1995,46,11,3/12/1995,1995,11,9.4,296.1785714,0.811274174
1994/1995,47,12,3/19/1995,1995,7,5.2,297.2071429,0.833674575
1994/1995,48,13,3/26/1995,1995,16,1.9,297.4,0.686406873
1994/1995,49,14,4/2/1995,1995,14,1.1,298.8428571,0.790760624
1994/1995,50,15,4/9/1995,1995,16,13.2,298.1785714,0.795398054
1994/1995,51,16,4/16/1995,1995,5,10.1,297.6785714,0.791871518
1994/1995,52,17,4/23/1995,1995,2,2.2,298.7357143,0.774908971
1995/1996,1,18,4/30/1995,1995,6,7.2,299.5214286,0.761323155
1995/1996,2,19,5/7/1995,1995,5,14,298.9714286,0.79322295
1995/1996,3,20,5/14/1995,1995,4,19,299.3857143,0.841726619
1995/1996,4,21,5/21/1995,1995,3,15.83,299.8,0.813508667
1995/1996,5,22,5/28/1995,1995,4,86.3,298.7142857,0.741564968
1995/1996,6,23,6/4/1995,1995,16,19.57,299.6357143,0.869177403
1995/1996,7,24,6/11/1995,1995,8,41.74,299.7785714,0.811188811
1995/1996,8,25,6/18/1995,1995,7,11.7,300.8785714,0.752372735
1995/1996,9,26,6/25/1995,1995,10,10.72,300.95,0.754201681
1995/1996,10,27,7/2/1995,1995,14,55.89,300.1857143,0.740654206
1995/1996,11,28,7/9/1995,1995,7,41,300.5214286,0.819095477
1995/1996,12,29,7/16/1995,1995,9,46.41,300.3571429,0.859756098
1995/1996,13,30,7/23/1995,1995,11,111.25,299.8071429,0.882943144
1995/1996,14,31,7/30/1995,1995,23,42.05,300.2785714,1.033604888
1995/1996,15,32,8/6/1995,1995,17,25.8,300.5357143,0.932705249
1995/1996,16,33,8/13/1995,1995,19,84.5,300.1642857,0.9647527
1995/1996,17,34,8/20/1995,1995,24,62.81,300.1928571,1.014211274
1995/1996,18,35,8/27/1995,1995,17,10.7,300.9071429,0.93036316
1995/1996,19,36,9/3/1995,1995,28,106.7,300.8785714,1.047707101
1995/1996,20,37,9/10/1995,1995,40,95.8,299.9785714,1.138142523
1995/1996,21,38,9/17/1995,1995,33,16.6,300.15,1.034572864
1995/1996,22,39,9/24/1995,1995,31,67.8,299.8285714,1.011066398
1995/1996,23,40,10/1/1995,1995,33,49.6,299.6714286,1.033585971
1995/1996,24,41,10/8/1995,1995,29,48.58,299.7142857,1.010297336
1995/1996,25,42,10/15/1995,1995,30,34.3,299.5357143,1.010669481
1995/1996,26,43,10/22/1995,1995,36,55.8,299.9142857,1.014933391
1995/1996,27,44,10/29/1995,1995,48,16.3,299.6285714,1.070372208
1995/1996,28,45,11/5/1995,1995,40,23.2,299.5785714,1.024069479
1995/1996,29,46,11/12/1995,1995,28,14.1,299.3714286,0.978693075
1995/1996,30,47,11/19/1995,1995,36,11.79,299.5928571,1.007978134
1995/1996,31,48,11/26/1995,1995,19,15.9,299.3357143,0.952488999
1995/1996,32,49,12/3/1995,1995,34,11.1,298.9857143,0.947454146
1995/1996,33,50,12/10/1995,1995,23,27.2,298.4071429,0.938875484
1995/1996,34,51,12/17/1995,1995,17,51.9,298.5357143,0.930776854
1995/1996,35,52,12/24/1995,1995,17,18.2,298.7642857,0.922057051
1995/1996,36,1,1/1/1996,1996,23,6.52,298.6214286,0.936796909
1995/1996,37,2,1/8/1996,1996,14,31.7,298.05,0.914232772
1995/1996,38,3,1/15/1996,1996,20,66.45,297.4214286,0.899520181
1995/1996,39,4,1/22/1996,1996,13,29.6,296.7571429,0.831501079
1995/1996,40,5,1/29/1996,1996,23,11.7,297.3142857,0.851803106
1995/1996,41,6,2/5/1996,1996,20,16.05,297.55,0.890455033
1995/1996,42,7,2/12/1996,1996,16,9.8,298.2357143,0.834120137
1995/1996,43,8,2/19/1996,1996,16,22.57,297.75,0.920242994
1995/1996,44,9,2/26/1996,1996,23,1.2,297.5,0.883953581
1995/1996,45,10,3/4/1996,1996,14,9.7,297.9642857,0.905513612
1995/1996,46,11,3/11/1996,1996,15,28.5,297.7857143,0.935364042
1995/1996,47,12,3/18/1996,1996,4,1.3,298.25,0.892803221
1995/1996,48,13,3/25/1996,1996,5,29.8,297.3857143,0.858416644
1995/1996,49,14,4/1/1996,1996,5,28.4,298.2,0.900844542
1995/1996,50,15,4/8/1996,1996,11,23.92,298.1357143,0.877395902
1995/1996,51,16,4/15/1996,1996,11,5.6,298.5,0.915908264
1995/1996,52,17,4/22/1996,1996,7,23.9,298.1285714,0.849944424
1996/1997,1,18,4/29/1996,1996,4,11.7,297.7714286,0.839116719
1996/1997,2,19,5/6/1996,1996,6,66.2,297.6357143,0.853405995
1996/1997,3,20,5/13/1996,1996,5,22.9,298.7214286,0.829721362
1996/1997,4,21,5/20/1996,1996,2,18.58,299.55,0.709537572
1996/1997,5,22,5/27/1996,1996,4,26.61,299.1714286,0.777648428
1996/1997,6,23,6/3/1996,1996,2,42.8,298.9214286,0.686303387
1996/1997,7,24,6/10/1996,1996,4,68.2,298.5071429,0.903930131
1996/1997,8,25,6/17/1996,1996,6,29.4,299.55,0.912663755
1996/1997,9,26,6/24/1996,1996,6,23.9,299.7357143,0.914712154
1996/1997,10,27,7/1/1996,1996,4,19.83,300.0357143,0.829166667
1996/1997,11,28,7/8/1996,1996,6,108.4,299.1714286,0.802666667
1996/1997,12,29,7/15/1996,1996,11,46,299.6285714,1
1996/1997,13,30,7/22/1996,1996,16,39.1,299.5071429,1.209944751
1996/1997,14,31,7/29/1996,1996,9,43.91,299.2642857,0.926910299
1996/1997,15,32,8/5/1996,1996,12,52.5,299.6357143,0.982998454
1996/1997,16,33,8/12/1996,1996,13,66.3,299.1428571,1.020887728
1996/1997,17,34,8/19/1996,1996,27,36.3,299.8928571,1.208378088
1996/1997,18,35,8/26/1996,1996,21,17.55,300.7214286,1.0243309
1996/1997,19,36,9/2/1996,1996,19,45.44,300.1571429,0.997116771
1996/1997,20,37,9/9/1996,1996,17,195.7,299.35,0.97856554
1996/1997,21,38,9/16/1996,1996,24,21.92,300.2214286,1.025009332
1996/1997,22,39,9/23/1996,1996,27,27,300.3,1.046908978
1996/1997,23,40,9/30/1996,1996,30,21.6,300.15,1.056968464
1996/1997,24,41,10/7/1996,1996,29,23.44,299.8857143,1.034195163
1996/1997,25,42,10/14/1996,1996,25,9.5,300.3714286,0.998730964
1996/1997,26,43,10/21/1996,1996,35,43,299.6214286,1.060322855
1996/1997,27,44,10/28/1996,1996,33,73.32,299.0928571,1.036705079
1996/1997,28,45,11/4/1996,1996,30,47.2,298.4214286,1.018434913
1996/1997,29,46,11/11/1996,1996,29,254.45,298.6642857,0.992533027
1996/1997,30,47,11/18/1996,1996,31,88.2,298.3285714,1.017579676
1996/1997,31,48,11/25/1996,1996,29,21.67,297.8714286,1.014458606
1996/1997,32,49,12/2/1996,1996,22,5.3,297.65,0.996944077
1996/1997,33,50,12/9/1996,1996,27,39.7,297.1,0.996104674
1996/1997,34,51,12/16/1996,1996,24,4.21,296.9642857,0.981111658
1996/1997,35,52,12/23/1996,1996,26,39.62,297.6,0.977526968
1996/1997,36,1,1/1/1997,1997,29,14.44,297.55,0.988046588
1996/1997,37,2,1/8/1997,1997,22,10.09,297.6,0.979158153
1996/1997,38,3,1/15/1997,1997,33,36.4,297.5714286,0.978024256
1996/1997,39,4,1/22/1997,1997,24,69.7,296.9428571,0.953842919
1996/1997,40,5,1/29/1997,1997,30,17.6,297.4571429,0.978217382
1996/1997,41,6,2/5/1997,1997,20,44.18,297.3642857,0.948210713
1996/1997,42,7,2/12/1997,1997,17,15.14,297.6642857,0.931751782
1996/1997,43,8,2/19/1997,1997,24,17.8,297.3642857,0.948890298
1996/1997,44,9,2/26/1997,1997,28,8.3,297.35,0.986351706
1996/1997,45,10,3/5/1997,1997,18,13.4,297.3357143,0.937626263
1996/1997,46,11,3/12/1997,1997,13,21.72,297.1428571,0.933067199
1996/1997,47,12,3/19/1997,1997,9,2.1,298.1714286,0.91516601
1996/1997,48,13,3/26/1997,1997,14,6,297.8285714,0.902349148
1996/1997,49,14,4/2/1997,1997,11,18.83,296.3785714,0.919052488
1996/1997,50,15,4/9/1997,1997,11,7.3,297.7928571,0.869754768
1996/1997,51,16,4/16/1997,1997,19,17,299.0785714,0.926823892
1996/1997,52,17,4/23/1997,1997,10,3.5,299.4642857,0.850300787
1997/1998,1,18,4/30/1997,1997,8,1.9,299.4285714,0.895797842
1997/1998,2,19,5/7/1997,1997,8,27,299.0857143,0.903640929
1997/1998,3,20,5/14/1997,1997,9,10.1,299.3214286,0.858831476
1997/1998,4,21,5/21/1997,1997,3,13.8,299.4285714,0.769667478
1997/1998,5,22,5/28/1997,1997,7,42.3,299.0642857,0.836782969
1997/1998,6,23,6/4/1997,1997,14,5.6,300.5071429,0.903248588
1997/1998,7,24,6/11/1997,1997,4,8.4,300.5428571,0.844074844
1997/1998,8,25,6/18/1997,1997,9,33.5,299.9928571,0.818577649
1997/1998,9,26,6/25/1997,1997,14,13.7,300.5928571,0.870942201
